perna;situacao;de;para;ini_atual;ini_novo;fim_atual;fim_novo
V-2026-000019;par sobreposto;C-2026-000459;C-2026-000476;2026-08-21 00:00;2026-08-25 19:18;2026-08-31 18:47;2026-08-22 12:42
V-2026-000021;par sobreposto;C-2026-000550;C-2026-000605;2026-08-31 00:00;2026-09-02 08:28;2026-09-04 00:06;2026-08-31 20:46
V-2026-000022;par sobreposto;C-2026-000573;C-2026-000597;2026-08-21 00:00;2026-08-31 00:00;2026-08-24 21:17;2026-08-31 00:00
V-2026-000053;par sobreposto;C-2026-000375;C-2026-000388;2026-08-05 00:00;2026-08-13 18:01;2026-08-05 13:44;2026-08-05 13:44
