numero;antes;depois;chegada_gps;erro_antes_h;erro_depois_h;veredito
C-2026-000536;2026-08-27 00:00:00;2026-08-28 00:04:56;2026-08-27 00:09:56;0.2;23.9;piorou
C-2026-000537;2026-08-27 10:04:31.221881;2026-08-27 16:19:02;2026-08-27 02:04:39;8.0;14.2;piorou
C-2026-000540;2026-08-28 00:00:00;2026-08-29 14:23:32;2026-08-28 14:24:02;14.4;24.0;piorou
C-2026-000541;2026-08-29 10:07:33.424333;2026-08-31 20:02:04;2026-08-31 09:35:51;47.5;10.4;melhorou
C-2026-000542;2026-08-28 18:48:29.823304;2026-08-29 14:45:29;2026-08-28 18:37:13;0.2;20.1;piorou
C-2026-000543;2026-08-29 00:00:00;2026-08-29 14:21:01;2026-08-28 16:22:07;7.6;22.0;piorou
C-2026-000544;2026-08-31 19:38:24.159453;2026-09-01 10:00:02;2026-08-31 10:00:02;9.6;24.0;piorou
C-2026-000546;2026-08-29 12:35:40.186563;2026-08-28 22:55:13;2026-08-27 22:55:13;37.7;24.0;melhorou
C-2026-000547;2026-09-02 06:53:31.165055;2026-09-03 07:37:29;2026-09-02 07:42:29;0.8;23.9;piorou
C-2026-000548;None;2026-08-31 23:47:15;2026-08-31 08:13:21;;;sem referencia
C-2026-000549;2026-09-03 14:08:29.102509;2026-09-02 18:26:18;2026-08-26 12:57:05;193.2;173.5;melhorou
C-2026-000551;2026-08-28 13:36:33.117007;2026-08-28 22:40:04;2026-08-28 10:56:35;2.7;11.7;piorou
C-2026-000553;2026-08-30 10:07:51.445143;2026-08-31 22:37:56;2026-08-30 23:29:45;13.4;23.1;piorou
C-2026-000556;2026-08-29 00:00:00;2026-08-30 06:55:08;2026-08-29 07:00:08;7.0;23.9;piorou
C-2026-000557;2026-08-31 03:28:55.993677;2026-09-01 02:14:13;2026-08-31 02:52:27;0.6;23.4;piorou
C-2026-000558;2026-08-30 23:58:25.161427;2026-08-31 22:47:30;2026-08-30 22:57:30;1.0;23.8;piorou
C-2026-000561;2026-08-30 22:56:51.205741;2026-08-31 22:41:20;2026-08-30 22:46:20;0.2;23.9;piorou
